effect,model,r_sim,r_sim_all,variant_spread,refusal_rate,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,D_pub,var_o,var_r,z_sim_r,z_bare_r,replaced
Finucane2000_affect_heuristic,sonnet5,-0.688732,-0.688732,0.0756664999999998,0.0,-0.661294,-0.75,-0.87,219.0,776.0,jdm_bias,P2,-0.8455394765071356,-0.7951098106488962,-0.9729550745276566,-1.3330796296965248,0.3601245551688682,0.0046296296296296,0.001293661060802,-0.8455394765071356,-0.7951098106488962,False
Finucane2000_affect_heuristic,sonnet45,-0.8054945,-0.7879175,0.039119,0.0,-0.728538,-0.75,-0.87,219.0,776.0,jdm_bias,P2,-1.1140646770858191,-0.9256045385444508,-0.9729550745276566,-1.3330796296965248,0.3601245551688682,0.0046296296296296,0.001293661060802,-1.1140646770858191,-0.9256045385444508,False
Glikson2017_smiley_competence,sonnet5,0.291596,0.6070690000000001,0.7170865,0.0,-0.654654,0.3387194682727416,0.1093404791528976,85.0,823.0,trait_inference,P2,0.3003096947625834,-0.7834001947474628,0.3526453302526998,0.1097793659205434,0.2428659643321564,0.0121951219512195,0.0012195121951219,0.3003096947625834,-0.7834001947474628,False
Glikson2017_smiley_competence,sonnet45,-0.0881305,-0.0881305,0.466555,0.0212765957446808,-0.622543,0.3387194682727416,0.1093404791528976,85.0,823.0,trait_inference,P2,-0.0883597386728021,-0.7291466478109646,0.3526453302526998,0.1097793659205434,0.2428659643321564,0.0121951219512195,0.0012195121951219,-0.0883597386728021,-0.7291466478109646,False
Hoorens2015_more_less_asymmetry,sonnet5,0.9223795,0.8337125000000001,0.2899784999999999,0.0,0.966558,0.6782329983125268,0.4819187497721559,320.0,433.0,jdm_bias,P2,1.604743726526497,2.0371137452106827,0.8258345228925368,0.5254804479785135,0.3003540749140233,0.0031545741324921,0.0023255813953488,2.0541020876022733,0.9443116785910155,True
Hoorens2015_more_less_asymmetry,sonnet45,0.9801945,0.820669,0.0043015,0.0,0.495188,0.6782329983125268,0.4819187497721559,320.0,433.0,jdm_bias,P2,2.302495337141085,0.5429105738458485,0.8258345228925368,0.5254804479785135,0.3003540749140233,0.0031545741324921,0.0023255813953488,2.1704457822008427,1.1270078600122255,True
Huang2019_anthropomorphism_holistic,sonnet5,0.0,0.0,0.0,0.0,0.0,0.6708203932499369,0.0499376169438922,101.0,584.0,social_judgment,P2,0.0,0.0,0.8122332596240808,0.0499791900693486,0.7622540695547322,0.010204081632653,0.0017211703958691,0.0,0.0,False
Huang2019_anthropomorphism_holistic,sonnet45,0.0,0.0,0.0,0.0084033613445378,0.0,0.6708203932499369,0.0499376169438922,101.0,584.0,social_judgment,P2,0.0,0.0,0.8122332596240808,0.0499791900693486,0.7622540695547322,0.010204081632653,0.0017211703958691,0.0,0.0,False
John2016_hiding_information,sonnet5,0.892225,0.892225,0.2682329999999999,0.0,-0.907263,0.1899761158124235,0.0194962936194799,142.0,1224.0,trait_inference,P2,1.4327314718419453,-1.5118284895523395,0.1923123906376008,0.0194987643989151,0.1728136262386856,0.0071942446043165,0.0008190008190008,0.8809906319328726,-0.5697417480183548,True
John2016_hiding_information,sonnet45,1.0,0.9976985,0.0754369999999999,0.1940298507462686,-0.826908,0.1899761158124235,0.0194962936194799,142.0,1224.0,trait_inference,P2,2.6466524123622457,-1.1782784771407653,0.1923123906376008,0.0194987643989151,0.1728136262386856,0.0071942446043165,0.0008190008190008,1.8817242586547498,0.8775791583157883,True
