effect,model,r_sim,r_sim_all,variant_spread,refusal_rate,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,D_pub,var_o,var_r
Shnabel2008_needs_reconciliation,sonnet5,-0.3261775,-0.15255049999999998,0.23129200000000005,,,0.2645751311064591,0.09,94.0,1376.0,introspective_recall,P2,-0.3385446499554678,,0.27102154744373086,0.09024418785614682,0.18077735958758404,0.01098901098901099,0.0007283321194464676
Shnabel2008_needs_reconciliation,sonnet45,0.1682505,0.1682505,0.239737,,,0.2645751311064591,0.09,94.0,1376.0,introspective_recall,P2,0.16986564790739644,,0.27102154744373086,0.09024418785614682,0.18077735958758404,0.01098901098901099,0.0007283321194464676
Stevenson2000_web_brand_attitude,sonnet5,0.9158014999999999,0.9376605,0.09694400000000003,,0.771641,0.42,0.54,30.0,95.0,social_judgment,P2,1.5623571227742294,1.024371281333527,0.44769202352742066,0.6041556029622671,-0.15646357943484646,0.037037037037037035,0.010869565217391304
Stevenson2000_web_brand_attitude,sonnet45,0.4990715,0.4990505,0.998122,,0.0,0.42,0.54,30.0,95.0,social_judgment,P2,0.5480689095506963,0.0,0.44769202352742066,0.6041556029622671,-0.15646357943484646,0.037037037037037035,0.010869565217391304
Thoresen2003_commitment_negative_affect,sonnet5,-0.0665535,-0.0665535,0.439887,,0.316124,-0.19,-0.26,713.0,748.0,questionnaire,P2,-0.06665202529818488,0.3273348588659677,-0.1923371692195453,-0.2661084068736541,0.07377123765410881,0.0014084507042253522,0.0013422818791946308
Thoresen2003_commitment_negative_affect,sonnet45,-0.5,0.0963385,0.6331865,,-0.46642,-0.19,-0.26,713.0,748.0,questionnaire,P2,-0.5493061443340549,-0.5054851613181548,-0.1923371692195453,-0.2661084068736541,0.07377123765410881,0.0014084507042253522,0.0013422818791946308
Weinstein1984_comparative_optimism,sonnet5,-0.9686245,-0.9601455000000001,0.030888000000000027,,-0.99784,-0.3511234415883917,-0.196116135138184,136.0,480.0,jdm_bias,P2,-2.069531510465193,-2.6466524123622457,-0.3667246042301368,-0.19869011034924136,-0.16803449388089545,0.007518796992481203,0.0020964360587002098
Weinstein1984_comparative_optimism,sonnet45,-0.8833135000000001,-0.8833135000000001,0.30191650000000003,,,-0.3511234415883917,-0.196116135138184,136.0,480.0,jdm_bias,P2,-1.3906485765382441,,-0.3667246042301368,-0.19869011034924136,-0.16803449388089545,0.007518796992481203,0.0020964360587002098
WilliamsBargh2008_distance_priming,sonnet5,-0.1790145,-0.11163500000000001,0.11872349999999998,,,0.3316624790355399,0.0,84.0,125.0,social_priming,P2,-0.18096437555596542,,0.34469505401899686,0.0,0.34469505401899686,0.012345679012345678,0.00819672131147541
WilliamsBargh2008_distance_priming,sonnet45,-0.1886,-0.116338,0.057405,,,0.3316624790355399,0.0,84.0,125.0,social_priming,P2,-0.19088513608010668,,0.34469505401899686,0.0,0.34469505401899686,0.012345679012345678,0.00819672131147541
Zarkadi2013_visual_contrast,sonnet5,-0.0920575,0.0,0.08589400000000001,,,0.2645751311064591,0.0316227766016837,111.0,8602.0,social_priming,P2,-0.09231887999565794,,0.27102154744373086,0.03163332385629397,0.2393882235874369,0.009259259259259259,0.00011629259216187928
Zarkadi2013_visual_contrast,sonnet45,0.0,0.0,0.0,,,0.2645751311064591,0.0316227766016837,111.0,8602.0,social_priming,P2,0.0,,0.27102154744373086,0.03163332385629397,0.2393882235874369,0.009259259259259259,0.00011629259216187928
Asch1946_warm_cold,sonnet5,1.0,1.0,,,0.0,0.6508,0.1966,166.0,183.0,trait_inference,A0A1,2.6466524123622457,0.0,0.7766852369564898,0.1991933795153748,0.577491857441115,0.006134969325153374,0.005555555555555556
Asch1946_warm_cold,sonnet45,1.0,1.0,,,0.0,0.6508,0.1966,166.0,183.0,trait_inference,A0A1,2.6466524123622457,0.0,0.7766852369564898,0.1991933795153748,0.577491857441115,0.006134969325153374,0.005555555555555556
Banerjee2012_brightness,sonnet5,0.6584346778191597,0.6584346778191597,,,,0.5239,-0.015,74.0,482.0,introspective_recall,A0A1,0.7900452652063926,,0.5817001005476711,-0.015001125151899412,0.5967012256995705,0.014084507042253521,0.0020876826722338203
